Date,Price,Open,High,Low,Vol.,Change %
07/20/2019,228.2,220.81,234.82,220.02,453.40K,3.37%
07/21/2019,225.41,228.18,229.65,217.29,440.72K,-1.22%
07/22/2019,217.48,225.45,228.12,212.76,442.71K,-3.52%
07/23/2019,212.62,217.50,219.39,208.85,488.35K,-2.23%
07/24/2019,216.32,212.46,218.25,202.17,507.77K,1.74%
07/25/2019,219.08,216.22,225.06,215.38,375.13K,1.28%
07/26/2019,218.78,219.01,219.87,212.89,370.61K,-0.14%
07/27/2019,207.48,218.77,223.20,203.61,338.42K,-5.17%
07/28/2019,211.25,207.29,213.61,199.13,345.06K,1.82%
07/29/2019,210.95,212.02,215.25,207.00,374.40K,-0.14%
07/30/2019,209.52,210.93,213.92,205.08,334.05K,-0.68%
07/31/2019,218.38,209.54,218.66,209.26,317.73K,4.23%
08/01/2019,216.88,218.39,218.82,211.14,283.45K,-0.68%
08/02/2019,217.74,216.86,222.00,214.58,262.64K,0.39%
08/03/2019,222.07,217.73,224.42,216.74,242.65K,1.99%
08/04/2019,221.79,222.07,223.07,217.14,282.94K,-0.13%
08/05/2019,233.46,221.80,236.07,221.80,327.93K,5.27%
08/06/2019,226.32,233.46,238.89,223.14,315.11K,-3.06%
08/07/2019,226.13,226.27,231.16,221.49,418.80K,-0.09%
08/08/2019,221.48,226.21,226.86,216.13,363.20K,-2.06%
08/09/2019,210.52,221.55,221.64,207.41,417.11K,-4.95%
08/10/2019,206.45,210.52,214.83,202.63,448.96K,-1.93%
08/11/2019,216.19,206.41,217.07,206.14,305.67K,4.71%
08/12/2019,211.43,216.49,216.79,210.00,448.54K,-2.20%
08/13/2019,209.28,211.53,211.67,204.45,359.39K,-1.02%
08/14/2019,187.03,209.24,209.82,183.61,479.87K,-10.63%
08/15/2019,188.13,187.13,189.93,175.05,607.94K,0.59%
08/16/2019,184.92,187.91,188.34,178.99,551.56K,-1.71%
08/17/2019,185.54,184.85,186.95,182.16,428.52K,0.34%
08/18/2019,194.34,185.54,197.71,183.38,438.48K,4.74%
08/19/2019,202.23,194.32,203.40,192.74,421.32K,4.06%
08/20/2019,196.45,202.19,202.78,194.67,399.09K,-2.85%
08/21/2019,187.52,196.49,197.05,181.19,491.94K,-4.55%
08/22/2019,190.39,187.53,195.04,182.89,548.25K,1.53%
08/23/2019,194.1,190.40,195.88,188.26,471.29K,1.95%
08/24/2019,190.72,194.10,194.10,186.24,430.99K,-1.74%
08/25/2019,186.49,190.72,192.31,183.10,402.20K,-2.21%
08/26/2019,188.63,186.65,193.58,186.12,433.92K,1.14%
08/27/2019,187.27,188.68,189.29,184.90,371.66K,-0.72%
08/28/2019,173.1,187.24,188.10,166.64,388.54K,-7.57%
08/29/2019,168.85,173.10,173.47,164.00,630.29K,-2.46%
08/30/2019,168.43,168.92,170.54,165.84,416.54K,-0.25%
08/31/2019,171.58,168.46,174.66,166.00,426.97K,1.87%
09/01/2019,170.73,171.57,173.39,167.77,341.75K,-0.50%
09/02/2019,178.09,170.77,180.70,170.12,418.33K,4.31%
09/03/2019,178.72,178.05,182.65,175.23,460.77K,0.36%
09/04/2019,174.79,178.78,180.08,173.70,480.86K,-2.20%
09/05/2019,173.74,174.71,175.51,170.21,381.89K,-0.60%
09/06/2019,169.13,173.79,177.82,165.66,455.00K,-2.66%
09/07/2019,177.53,169.10,180.68,168.33,423.08K,4.97%
09/08/2019,181.49,177.54,183.93,176.64,516.35K,2.23%
09/09/2019,180.55,181.16,185.18,176.08,521.81K,-0.52%
09/10/2019,179.91,180.49,184.24,177.10,502.71K,-0.35%
09/11/2019,178.3,179.82,182.58,174.48,451.56K,-0.89%
09/12/2019,180.77,178.32,182.35,176.62,382.80K,1.39%
09/13/2019,180.93,180.76,181.39,177.59,386.16K,0.08%
09/14/2019,188.18,180.97,188.72,179.84,373.90K,4.01%
09/15/2019,188.99,188.19,190.34,185.74,371.32K,0.43%
09/16/2019,197.32,188.98,199.23,188.32,515.96K,4.41%
09/17/2019,207.8,197.26,214.95,195.76,504.18K,5.31%
09/18/2019,210.1,207.77,216.99,207.77,569.02K,1.10%
09/19/2019,220.22,210.13,223.86,202.58,588.23K,4.82%
09/20/2019,218.04,220.26,221.47,212.45,523.35K,-0.99%
09/21/2019,215.08,218.05,221.30,213.35,477.45K,-1.36%
09/22/2019,210.93,215.03,215.55,206.19,522.31K,-1.93%
09/23/2019,201.09,211.15,211.58,199.00,524.37K,-4.67%
09/24/2019,165.69,201.27,202.89,150.00,606.95K,-17.60%
09/25/2019,170.01,165.85,174.77,162.25,731.19K,2.61%
09/26/2019,165.91,169.96,170.96,152.96,637.08K,-2.41%
09/27/2019,173.81,165.97,176.63,161.20,614.20K,4.76%
09/28/2019,173.76,173.79,175.45,168.21,595.24K,-0.03%
09/29/2019,169.24,173.66,174.49,164.48,613.44K,-2.60%
09/30/2019,180.49,169.26,180.56,165.34,644.50K,6.64%
10/01/2019,175.73,180.95,185.49,173.62,679.58K,-2.63%
10/02/2019,180.22,175.64,180.99,173.73,560.58K,2.56%
10/03/2019,174.76,180.23,180.55,169.80,528.28K,-3.03%
10/04/2019,175.51,174.77,178.78,170.89,554.31K,0.43%
10/05/2019,176.01,175.62,176.53,172.47,167.79K,0.29%
10/06/2019,170.25,176.01,176.60,167.91,1.98K,-3.27%
10/07/2019,179.69,170.25,182.13,169.02,747.41K,5.54%
10/08/2019,180.72,179.79,184.59,177.55,409.53K,0.57%
10/09/2019,192.56,180.54,195.40,179.45,540.50K,6.55%
10/10/2019,191.15,192.60,196.26,187.01,592.91K,-0.73%
10/11/2019,180.55,191.23,196.39,179.49,570.00K,-5.55%
10/12/2019,179.68,180.58,184.61,178.01,521.58K,-0.48%
10/13/2019,181.01,179.76,184.43,178.76,499.67K,0.74%
10/14/2019,186.66,180.97,187.51,180.48,504.77K,3.13%
10/15/2019,180.59,186.66,187.86,178.01,521.79K,-3.25%
10/16/2019,174.56,180.51,181.24,172.34,595.36K,-3.34%
10/17/2019,177.2,174.56,178.83,172.63,530.88K,1.52%
10/18/2019,172.82,177.19,177.36,169.00,598.87K,-2.48%
10/19/2019,171.87,172.77,174.86,169.97,471.22K,-0.54%
10/20/2019,175.08,171.86,176.29,169.34,545.96K,1.86%
10/21/2019,174.01,175.08,189.00,171.84,481.14K,-0.61%
10/22/2019,171.27,174.00,176.10,170.61,541.53K,-1.57%
10/23/2019,162.42,171.26,171.49,153.92,713.74K,-5.17%
10/24/2019,160.37,162.33,163.71,158.96,645.77K,-1.26%
10/25/2019,181.63,160.37,187.25,160.33,784.66K,13.26%
10/26/2019,179.54,181.67,196.84,173.96,967.14K,-1.15%
10/27/2019,183.71,179.45,188.56,176.28,925.03K,2.32%
10/28/2019,181.66,183.79,189.15,180.44,851.38K,-1.11%
10/29/2019,190.44,181.62,192.57,181.50,815.12K,4.83%
10/30/2019,183.12,190.41,191.70,180.40,801.99K,-3.84%
10/31/2019,182.18,183.13,190.00,177.93,782.03K,-0.52%
11/01/2019,182.81,182.16,184.44,177.49,683.90K,0.35%
11/02/2019,182.96,182.82,185.14,181.45,597.96K,0.08%
11/03/2019,181.68,182.93,184.70,179.09,609.03K,-0.70%
11/04/2019,185.72,181.68,188.21,180.38,591.28K,2.23%
11/05/2019,188.68,185.68,191.99,182.65,774.38K,1.59%
11/06/2019,191.05,188.68,194.26,187.66,747.07K,1.26%
11/07/2019,186.63,191.13,192.18,184.82,643.32K,-2.31%
11/08/2019,183.81,186.63,188.20,181.50,598.38K,-1.52%
11/09/2019,184.87,183.74,185.80,182.66,512.18K,0.58%
11/10/2019,188.93,184.85,191.59,183.33,556.71K,2.20%
11/11/2019,185.01,188.92,190.16,184.15,574.34K,-2.08%
11/12/2019,187.0,184.96,187.49,182.76,587.82K,1.08%
11/13/2019,188.08,187.03,189.45,185.16,520.20K,0.58%
11/14/2019,184.9,188.23,188.60,183.42,537.84K,-1.69%
11/15/2019,180.04,184.93,186.44,178.00,630.38K,-2.63%
11/16/2019,182.35,180.02,183.53,179.32,406.49K,1.29%
11/17/2019,183.76,182.35,186.00,180.15,354.25K,0.77%
11/18/2019,178.19,183.76,183.96,175.14,416.20K,-3.03%
11/19/2019,175.94,178.12,181.00,172.98,660.88K,-1.26%
11/20/2019,174.8,175.94,177.37,173.61,402.12K,-0.65%
11/21/2019,161.09,174.81,175.84,157.54,700.83K,-7.85%
11/22/2019,149.56,161.07,162.93,138.18,1.19M,-7.15%
11/23/2019,151.73,149.56,154.29,146.21,456.31K,1.45%
11/24/2019,139.89,151.81,152.74,138.83,741.49K,-7.81%
11/25/2019,145.58,140.02,151.40,131.53,891.25K,4.07%
11/26/2019,147.45,145.77,149.84,143.69,698.25K,1.29%
11/27/2019,152.57,147.46,155.39,141.00,822.41K,3.47%
11/28/2019,150.74,152.62,154.54,149.30,581.96K,-1.20%
11/29/2019,154.46,150.72,157.22,150.28,595.53K,2.47%
11/30/2019,151.51,154.46,155.23,149.85,463.58K,-1.90%
12/01/2019,150.79,151.35,152.35,146.01,588.80K,-0.48%
