"Date","Price","Open","High","Low","Vol.","Change %"
"06/09/2016","341.25","343.76","343.76","340.47","253.81M","-0.96%"
"06/08/2016","344.56","345.69","345.69","343.46","281.87M","-0.49%"
"06/07/2016","346.26","343.73","347.29","343.73","333.05M","1.12%"
"06/06/2016","342.41","340.18","343.20","340.18","241.08M","0.33%"
"06/03/2016","341.29","344.75","346.76","339.45","292.61M","-0.89%"
"06/02/2016","344.35","343.88","345.08","343.14","298.01M","0.07%"
"06/01/2016","344.12","346.92","346.92","342.73","322.89M","-0.96%"
"05/31/2016","347.45","350.46","351.14","346.98","564.16M","-0.77%"
"05/30/2016","350.14","349.66","350.36","349.14","146.06M","0.14%"
"05/27/2016","349.64","348.43","349.67","348.06","215.88M","0.21%"
"05/26/2016","348.91","347.88","349.23","347.38","266.49M","0.10%"
"05/25/2016","348.56","345.27","349.27","345.27","319.29M","1.29%"
"05/24/2016","344.12","336.39","344.87","335.00","320.12M","2.21%"
"05/23/2016","336.69","337.89","339.39","335.22","220.54M","-0.39%"
"05/20/2016","338.01","334.73","338.18","334.73","259.69M","1.23%"
"05/19/2016","333.91","337.03","337.08","333.90","277.81M","-1.09%"
"05/18/2016","337.58","334.12","337.58","333.01","263.68M","0.85%"
"05/17/2016","334.72","336.04","338.73","333.30","277.35M","0.00%"
"05/16/2016","334.73","333.99","334.96","332.51","168.72M","0.01%"
"05/13/2016","334.68","332.16","335.05","330.44","275.20M","0.47%"
"05/12/2016","333.11","334.05","337.56","331.40","265.13M","-0.49%"
"05/11/2016","334.74","336.04","336.39","333.30","261.50M","-0.45%"
"05/10/2016","336.24","334.38","337.89","334.38","269.26M","0.91%"
"05/09/2016","333.22","332.72","336.37","332.26","239.18M","0.47%"
"05/06/2016","331.67","332.18","332.69","328.64","273.60M","-0.36%"
"05/05/2016","332.86","332.35","334.19","331.85","247.06M","0.32%"
"05/04/2016","331.80","335.25","336.02","331.51","288.66M","-1.12%"
"05/03/2016","335.56","341.17","341.17","335.06","323.44M","-1.66%"
"05/02/2016","341.24","341.56","342.31","340.56","243.56M","-0.07%"
"04/29/2016","341.48","347.19","347.19","341.41","306.24M","-2.13%"
"04/28/2016","348.90","347.33","348.90","343.12","311.23M","0.17%"
"04/27/2016","348.32","347.18","348.79","345.97","293.80M","0.29%"
"04/26/2016","347.31","346.93","349.26","346.60","287.32M","0.18%"
"04/25/2016","346.68","348.52","349.33","345.38","243.54M","-0.51%"
"04/22/2016","348.46","349.09","349.12","346.92","295.76M","-0.32%"
"04/21/2016","349.59","350.88","351.51","346.98","342.64M","-0.33%"
"04/20/2016","350.75","348.76","350.93","347.62","292.88M","0.43%"
"04/19/2016","349.24","345.21","349.43","345.21","307.18M","1.46%"
"04/18/2016","344.20","341.60","344.64","338.12","249.43M","0.41%"
"04/15/2016","342.79","343.91","344.18","341.89","274.82M","-0.35%"
"04/14/2016","343.99","342.90","344.41","341.77","352.96M","0.27%"
"04/13/2016","343.06","336.45","343.06","336.45","406.21M","2.52%"
"04/12/2016","334.64","333.16","334.94","330.40","305.33M","0.53%"
"04/11/2016","332.87","331.80","334.71","329.11","267.11M","0.30%"
"04/08/2016","331.86","328.62","332.41","328.62","276.44M","1.15%"
"04/07/2016","328.10","330.37","332.08","327.08","304.10M","-0.77%"
"04/06/2016","330.65","328.73","330.65","327.77","291.01M","0.76%"
"04/05/2016","328.15","332.92","332.92","327.75","298.99M","-1.90%"
"04/04/2016","334.49","332.78","336.70","331.33","234.82M","0.40%"
"04/01/2016","333.15","335.88","335.88","329.47","292.89M","-1.30%"
"03/31/2016","337.54","340.25","340.25","336.90","317.99M","-1.07%"
"03/30/2016","341.18","338.14","342.50","338.14","268.00M","1.30%"
"03/29/2016","336.79","335.82","338.36","334.66","261.01M","0.50%"
"03/24/2016","335.10","339.05","339.05","334.71","227.40M","-1.46%"
"03/23/2016","340.07","340.23","342.45","338.55","233.64M","-0.07%"
"03/22/2016","340.30","339.54","340.30","335.42","262.88M","-0.15%"
"03/21/2016","340.82","340.34","343.65","338.82","249.68M","-0.26%"
"03/18/2016","341.71","340.91","342.44","339.31","488.72M","0.30%"
"03/17/2016","340.68","341.75","342.29","334.76","370.66M","-0.09%"
"03/16/2016","341.00","340.91","342.42","338.75","284.02M","0.04%"
"03/15/2016","340.86","343.23","343.23","340.09","318.33M","-1.10%"
"03/14/2016","344.66","342.96","346.10","342.96","351.58M","0.71%"
"03/11/2016","342.23","335.80","342.31","335.80","404.56M","2.62%"
"03/10/2016","333.50","339.64","347.64","333.50","476.78M","-1.66%"
"03/09/2016","339.14","338.28","341.81","337.79","292.04M","0.49%"
"03/08/2016","337.48","339.75","340.29","336.19","341.13M","-1.01%"
"03/07/2016","340.93","341.43","342.37","338.45","298.58M","-0.25%"
"03/04/2016","341.80","339.76","343.67","339.09","324.35M","0.70%"
"03/03/2016","339.42","341.24","341.26","338.35","320.01M","-0.45%"
"03/02/2016","340.97","339.79","341.72","338.12","368.24M","0.66%"
"03/01/2016","338.72","333.76","338.87","332.41","313.26M","1.44%"
"02/29/2016","333.92","330.34","334.13","327.47","343.64M","0.72%"
"02/26/2016","331.54","328.01","333.23","328.01","306.10M","1.53%"
"02/25/2016","326.54","321.79","327.80","321.79","300.93M","1.97%"
