Date,Price,Open,High,Low,Vol.,Change %
"Oct 19, 2016",629.1,635.3,637.3,624.1,35.29K,-0.99%
"Oct 18, 2016",635.3,637.4,639.3,632.2,24.60K,-0.32%
"Oct 17, 2016",637.4,640.1,641.3,634.9,27.69K,-0.43%
"Oct 16, 2016",640.1,637.0,642.2,636.4,12.89K,0.49%
"Oct 15, 2016",637.0,637.9,641.4,635.1,12.38K,-0.14%
"Oct 14, 2016",637.9,635.6,640.5,630.7,31.42K,0.37%
"Oct 13, 2016",635.6,636.0,639.5,632.3,25.62K,-0.06%
"Oct 12, 2016",636.0,640.5,642.5,632.2,26.95K,-0.70%
"Oct 11, 2016",640.5,617.3,642.3,615.6,55.77K,3.75%
"Oct 10, 2016",617.3,615.8,618.8,612.8,25.23K,0.25%
"Oct 09, 2016",615.8,617.7,618.3,613.0,13.43K,-0.30%
"Oct 08, 2016",617.7,616.0,619.6,614.9,13.62K,0.26%
"Oct 07, 2016",616.0,611.0,619.4,609.1,32.73K,0.83%
"Oct 06, 2016",611.0,611.8,612.7,608.5,21.63K,-0.14%
"Oct 05, 2016",611.8,609.0,613.7,608.0,23.40K,0.47%
"Oct 04, 2016",609.0,611.6,612.7,606.5,24.99K,-0.43%
"Oct 03, 2016",611.6,610.7,613.2,608.5,21.95K,0.15%
"Oct 02, 2016",610.7,613.4,614.2,607.7,16.54K,-0.44%
"Oct 01, 2016",613.4,608.1,615.0,607.1,16.93K,0.87%
"Sep 30, 2016",608.1,604.7,608.8,602.3,23.95K,0.57%
"Sep 29, 2016",604.7,604.7,607.2,602.0,25.32K,0.00%
"Sep 28, 2016",604.7,605.5,606.9,602.6,18.94K,-0.13%
"Sep 27, 2016",605.5,606.5,609.0,601.7,25.55K,-0.18%
"Sep 26, 2016",606.5,601.5,608.5,598.2,27.51K,0.84%
"Sep 25, 2016",601.5,602.6,604.9,598.3,13.28K,-0.18%
"Sep 24, 2016",602.6,602.9,605.9,600.5,13.47K,-0.05%
"Sep 23, 2016",602.9,595.6,603.7,594.1,25.92K,1.22%
"Sep 22, 2016",595.6,597.2,599.8,592.8,22.44K,-0.26%
"Sep 21, 2016",597.2,609.2,608.8,591.7,36.86K,-1.98%
"Sep 20, 2016",609.2,609.8,611.3,605.9,22.61K,-0.10%
"Sep 19, 2016",609.8,610.7,612.4,607.0,21.24K,-0.14%
"Sep 18, 2016",610.7,607.1,612.4,605.2,16.33K,0.60%
"Sep 17, 2016",607.1,607.8,609.6,604.5,15.89K,-0.12%
"Sep 16, 2016",607.8,608.1,610.4,605.2,21.85K,-0.05%
"Sep 15, 2016",608.1,609.5,610.7,605.1,22.69K,-0.23%
"Sep 14, 2016",609.5,608.6,612.2,606.4,24.24K,0.15%
"Sep 13, 2016",608.6,608.0,612.0,604.9,27.52K,0.10%
"Sep 12, 2016",608.0,605.6,610.6,603.0,27.95K,0.39%
"Sep 11, 2016",605.6,624.5,630.8,592.8,36.54K,-3.03%
"Sep 10, 2016",624.5,623.2,627.5,621.1,15.28K,0.22%
"Sep 09, 2016",623.2,625.6,627.6,617.3,28.33K,-0.39%
"Sep 08, 2016",625.6,613.2,629.3,611.3,36.33K,2.02%
"Sep 07, 2016",613.2,610.4,616.5,606.2,30.03K,0.45%
"Sep 06, 2016",610.4,605.8,612.0,603.5,24.33K,0.77%
"Sep 05, 2016",605.8,609.5,610.6,598.8,25.29K,-0.62%
"Sep 04, 2016",609.5,598.8,615.2,590.8,30.69K,1.79%
"Sep 03, 2016",598.8,575.3,605.0,572.6,35.70K,4.09%
"Sep 02, 2016",575.3,572.0,577.6,569.3,26.61K,0.58%
"Sep 01, 2016",572.0,573.9,705.0,569.4,25.87K,-0.33%
"Aug 31, 2016",573.9,577.3,578.3,571.7,24.93K,-0.60%
"Aug 30, 2016",577.3,574.2,579.9,572.5,27.48K,0.54%
"Aug 29, 2016",574.2,575.0,578.6,571.4,23.86K,-0.13%
"Aug 28, 2016",575.0,570.3,576.3,569.2,12.83K,0.81%
"Aug 27, 2016",570.3,579.4,580.4,567.3,18.69K,-1.56%
"Aug 26, 2016",579.4,578.0,582.7,575.8,21.17K,0.24%
"Aug 25, 2016",578.0,579.7,580.7,570.8,32.73K,-0.29%
"Aug 24, 2016",579.7,583.6,584.5,576.8,28.06K,-0.67%
"Aug 23, 2016",583.6,587.5,589.9,578.6,32.08K,-0.67%
"Aug 22, 2016",587.5,580.7,591.9,577.1,33.56K,1.17%
"Aug 21, 2016",580.7,582.6,585.3,577.8,14.16K,-0.33%
"Aug 20, 2016",582.6,574.6,583.5,572.3,23.12K,1.40%
"Aug 19, 2016",574.6,573.4,577.9,566.3,25.53K,0.20%
"Aug 18, 2016",573.4,572.3,579.5,570.8,30.39K,0.18%
"Aug 17, 2016",572.3,580.2,581.1,568.7,32.76K,-1.35%
"Aug 16, 2016",580.2,567.0,583.4,563.4,37.69K,2.34%
